Champion,Overall_Winrate,Aftershock_Winrate,Aftershock_Pickrate,Aftershock_Games,Arcane Comet_Winrate,Arcane Comet_Pickrate,Arcane Comet_Games,Conqueror_Winrate,Conqueror_Pickrate,Conqueror_Games,Dark Harvest_Winrate,Dark Harvest_Pickrate,Dark Harvest_Games,Electrocute_Winrate,Electrocute_Pickrate,Electrocute_Games,First Strike_Winrate,First Strike_Pickrate,First Strike_Games,Fleet Footwork_Winrate,Fleet Footwork_Pickrate,Fleet Footwork_Games,Glacial Augment_Winrate,Glacial Augment_Pickrate,Glacial Augment_Games,Grasp of the Undying_Winrate,Grasp of the Undying_Pickrate,Grasp of the Undying_Games,Guardian_Winrate,Guardian_Pickrate,Guardian_Games,Hail of Blades_Winrate,Hail of Blades_Pickrate,Hail of Blades_Games,Lethal Tempo_Winrate,Lethal Tempo_Pickrate,Lethal Tempo_Games,Phase Rush_Winrate,Phase Rush_Pickrate,Phase Rush_Games,Press the Attack_Winrate,Press the Attack_Pickrate,Press the Attack_Games,Summon Aery_Winrate,Summon Aery_Pickrate,Summon Aery_Games,Unsealed Spellbook_Winrate,Unsealed Spellbook_Pickrate,Unsealed Spellbook_Games
Singed,51.11,50.7,17.2,"9,957",49.8,0.4,243,51.2,71.9,"41,522",52.7,2.1,"1,221",38.2,0.1,68,43.8,0.1,32,44.4,0.1,63,52.0,0.4,248,48.8,0.8,459,45.5,0.1,66,48.5,0.1,33,42.0,0.1,69,52.0,5.5,"3,188",34.7,0.1,49,50.4,0.6,347,49.1,0.3,161
Sion,54.51,51.4,8.9,"7,280",45.9,0.3,266,44.0,0.3,266,37.9,3.2,"2,575",40.3,0.3,211,51.9,0.1,54,43.9,0.1,41,44.2,0.1,77,56.4,82.5,"67,299",42.6,0.1,68,39.5,0.4,286,49.1,0.1,114,39.7,3.6,"2,899",41.3,0.1,63,30.7,0.1,75,55.6,0.0,18
Sivir,55.96,,,,47.3,0.1,167,56.5,0.3,474,49.0,6.9,"9,708",39.2,0.1,97,55.2,0.4,529,51.9,0.5,694,,,,49.4,0.1,154,50.0,0.0,14,49.0,0.1,155,56.8,85.3,"120,702",48.7,0.0,39,53.0,6.0,"8,512",48.4,0.2,215,30.0,0.0,20
Skarner,49.29,47.3,25.7,"10,913",42.5,0.7,301,36.8,0.5,209,30.2,0.4,189,35.1,0.1,37,40.0,0.0,20,38.9,0.0,18,28.8,0.1,59,51.2,67.1,"28,436",58.2,0.1,55,31.5,0.1,54,35.1,0.1,57,38.2,4.6,"1,936",38.5,0.1,26,40.0,0.1,30,51.2,0.1,43
Smolder,51.67,,,,57.1,2.9,"5,869",56.3,1.5,"3,066",50.2,52.4,"104,360",47.6,0.1,143,59.3,0.5,"1,057",55.9,20.6,"41,132",,,,53.2,1.7,"3,447",27.3,0.0,11,46.9,0.0,81,51.3,0.5,"1,090",62.5,0.1,168,49.7,19.4,"38,657",48.4,0.1,161,55.6,0.0,36
Sona,55.95,50.0,0.1,38,48.4,1.6,"1,081",48.7,0.2,117,46.1,18.1,"12,188",44.7,0.3,188,49.0,0.1,98,46.3,0.1,41,51.5,0.0,33,48.3,0.4,236,53.1,0.5,305,25.0,0.0,16,42.9,0.2,147,44.6,0.1,74,40.0,0.1,50,58.6,78.2,"52,710",56.7,0.1,67
Soraka,53.8,34.8,0.1,66,49.4,1.5,"1,167",43.4,0.2,145,45.9,6.1,"4,857",43.9,0.1,82,53.4,0.1,58,45.7,0.1,70,67.4,0.1,46,46.1,1.1,877,54.9,2.1,"1,671",29.2,0.0,24,32.8,0.6,454,44.2,0.1,120,33.6,0.1,110,54.7,87.7,"70,334",43.9,0.1,82
Swain,51.56,50.6,0.2,180,53.2,0.6,663,51.8,86.3,"101,333",49.5,8.6,"10,085",51.5,0.5,614,58.2,0.0,55,47.8,0.0,46,52.4,0.1,143,48.0,2.6,"3,111",50.0,0.0,46,53.8,0.0,26,41.6,0.1,154,55.7,0.5,585,43.6,0.1,94,54.9,0.2,288,52.4,0.0,21
Sylas,48.59,52.7,0.1,222,42.4,0.1,243,49.3,78.5,"141,726",44.9,17.3,"31,224",46.4,1.2,"2,199",49.5,0.1,198,52.4,0.0,82,30.0,0.0,20,56.6,2.1,"3,784",38.5,0.0,13,32.7,0.1,208,41.5,0.1,188,40.6,0.1,180,40.2,0.1,102,39.2,0.0,51,52.4,0.0,42
Syndra,51.74,57.9,0.0,38,52.4,12.0,"15,158",52.2,0.2,301,51.3,80.5,"101,795",53.8,3.0,"3,852",59.5,2.3,"2,920",44.2,0.0,43,65.1,0.1,83,56.7,0.1,90,58.3,0.0,12,41.2,0.0,51,45.7,0.1,164,55.2,1.1,"1,334",42.6,0.1,68,52.1,0.4,497,53.3,0.0,30
Tahm Kench,52.93,46.2,7.5,"5,673",34.1,0.4,299,40.0,0.3,250,30.2,1.1,812,29.3,0.1,58,38.3,0.1,60,38.5,0.0,26,41.9,0.0,31,54.1,89.0,"67,264",48.8,0.4,338,41.2,0.3,245,37.3,0.3,236,38.1,0.2,160,26.7,0.1,45,54.3,0.0,35,54.3,0.0,35
Taliyah,49.94,58.1,0.0,31,51.3,2.9,"3,254",51.1,0.5,579,50.0,81.8,"92,764",48.4,11.3,"12,762",52.0,0.5,531,57.6,0.0,33,55.3,0.1,85,45.7,0.1,81,42.9,0.0,14,43.5,0.0,46,37.9,0.1,145,52.7,2.3,"2,580",35.9,0.1,64,51.9,0.3,347,50.0,0.0,28
Talon,49.78,,,,29.5,0.1,44,52.9,24.5,"13,724",49.0,48.1,"26,951",48.1,25.0,"13,980",59.2,0.7,375,61.0,0.1,59,,,,44.2,0.2,138,0.0,0.0,3,43.8,0.1,48,35.2,0.2,88,49.1,0.9,529,47.9,0.1,48,36.8,0.0,19,75.0,0.0,4
